Date,High price,Low price,Closing price,Average price,Total volume,Turnover
2013-03-14,1222.80,1214.88,1221.85,,1,9102403946
2013-03-13,1211.47,1202.99,1210.89,,1,8358510001
2013-03-12,1219.50,1208.30,1208.52,,1,10821333923
2013-03-11,1218.28,1212.10,1218.08,,1,6212394339
2013-03-08,1219.83,1211.40,1215.14,,1,8894321157
2013-03-07,1213.33,1206.07,1208.09,,1,9984751480
2013-03-06,1221.00,1208.10,1208.39,,1,9333840437
2013-03-05,1219.22,1208.55,1217.41,,1,10791005057
2013-03-04,1203.64,1190.37,1203.47,,1,7590414094
2013-03-01,1203.76,1189.77,1199.21,,1,8499119033
2013-02-28,1200.00,1192.52,1199.40,,1,9262152865
2013-02-27,1194.13,1178.53,1194.07,,1,7965258966
2013-02-26,1191.67,1180.76,1180.90,,1,10448270293
2013-02-25,1212.32,1197.90,1199.44,,1,9459687168
2013-02-22,1207.36,1191.26,1205.10,,1,9710500017
2013-02-21,1195.14,1184.56,1188.95,,1,9975605576
2013-02-20,1201.28,1191.68,1200.54,,1,10934123205
2013-02-19,1193.80,1183.79,1193.77,,1,9315262225
2013-02-18,1186.45,1181.09,1185.98,,1,6548373703
2013-02-15,1187.52,1180.56,1183.43,,1,9244967136
2013-02-14,1184.55,1176.98,1182.91,,1,11380348456
2013-02-13,1186.02,1176.64,1185.46,,1,9486472812
2013-02-12,1176.68,1166.37,1175.98,,1,8098384393
2013-02-11,1176.28,1166.26,1171.01,,1,8978090410
2013-02-08,1175.64,1165.52,1175.05,,1,10207373457
2013-02-07,1177.06,1163.65,1165.71,,1,10670488428
2013-02-06,1181.03,1168.67,1174.79,,1,14462086756
2013-02-05,1175.54,1156.82,1175.54,,1,11965493749
2013-02-04,1177.41,1160.48,1161.19,,1,11626030945
2013-02-01,1178.87,1167.53,1176.11,,1,13060699543
2013-01-31,1182.12,1168.25,1169.17,,1,17311793923
2013-01-30,1173.38,1162.97,1173.38,,1,15802347932
2013-01-29,1161.97,1155.74,1161.97,,1,8603969124
2013-01-28,1162.49,1157.66,1160.25,,1,9539287663
2013-01-25,1158.50,1144.71,1158.50,,1,9238356363
2013-01-24,1146.93,1137.84,1146.93,,1,10779232684
2013-01-23,1141.99,1136.75,1140.82,,1,9032492768
2013-01-22,1142.96,1135.33,1139.15,,1,8946618244
2013-01-21,1143.63,1135.01,1143.09,,1,7680613641
2013-01-18,1141.17,1133.46,1135.02,,1,7910545112
2013-01-17,1137.73,1129.44,1136.20,,1,9410221435
2013-01-16,1130.65,1123.74,1130.62,,1,7435926568
2013-01-15,1133.97,1125.39,1127.51,,1,11286812586
2013-01-14,1138.07,1130.78,1132.84,,1,7817484120
2013-01-11,1132.28,1126.66,1132.28,,1,8884670122
2013-01-10,1131.27,1125.40,1126.87,,1,10666523218
2013-01-09,1128.66,1118.98,1127.67,,1,7908749911
2013-01-08,1133.28,1124.32,1125.39,,1,7779880185
2013-01-07,1137.37,1130.13,1130.13,,1,7778813073
2013-01-04,1136.77,1126.38,1136.77,,1,6609913295
